dokum_no;C;MN;SI;S;P;AL;ALINS;ALSOL;CR;B;V;TI;MO;NI;NB;CA;ZN;FE;CEV;SB;SN;AS;CU;N;PB;ZR;firin_giris_uzunluk;firin_giris_agirlik;firin_kalis_suresi;lcc_kalma_suresi;firin_cikis_sicakligi;kutuk_desarj_sicakligi;tavlama_ortalama_sicaklik;tavlama_min_sicaklik;tavlama_max_sicaklik;dr10_kutuk_sicakligi;ortalama_descaler_basinci;min_descaler_basinci;max_descaler_basinci;max_meerdrive_giris_sicakligi;min_ meerdrive_giris_sicakligi;ortam_hava_sicakligi1;ortam_hava_sicakligi2;ortam_hava_sicakligi3;unit_agirlik;haddeleme_suresi;haddeleme_hizi
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12202;2124;100,6666667;3,583333333;1177;0;1180,257;1173,5;1191;1090,22;223,1978;222,1065;223,9583;938,7731;923,1771;17,79382;6,325789;8,685843;178;73,5;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12179;2124;100,6666667;3,599999993;1177,5;0;1180,168;1173,5;1191;1083,825;222,9701;222,2222;224,1898;940,3646;916,1747;17,6977;6,291631;8,721301;178;73,2;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12158;2124;101,95;3,600000003;1178,5;0;1179,906;1173,5;1191;1083,825;223,4279;222,2222;223,8426;938,4548;922,8588;17,65342;6,308461;9,00829;178;73,1;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12230;2124;101,95;3,583333333;1179,5;0;1178,694;1173,5;1186;1090,712;223,0324;222,2222;224,1898;938,1366;922,8588;17,68983;6,442999;8,986358;178;73,3;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12054;2124;91,08333334;5,533333338;1180;0;1178,646;1173,5;1186;1089,728;223,0858;222,6852;223,6111;938,4548;895,8044;12,67314;4,907943;8,59304;178;72,9;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12020;2124;90,46666667;5,566666669;1181,5;0;1178,68;1173,5;1186;1087,269;222,958;221,6435;224,537;938,7731;921,5856;10,48556;3,913139;8,117927;178;73;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12196;2124;90,5;5,483333326;1179;0;1178,669;1173,5;1186;1092,188;222,5529;221,6435;223,9583;938,7731;919,3577;8,170482;3,154832;7,778267;178;73,5;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12160;2124;107,2;3,283333336;1178;0;1178,728;1173,5;1186;1098,09;223,1481;221,0648;225;941,3195;929,2245;12,79933;3,765565;6,178161;178;72,8;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12150;2124;108,0333333;3,266666665;1176,5;0;1178,716;1173,5;1186;1095,631;222,7348;221,2963;224,4213;943,2291;933,9988;15,9228;5,788727;8,328264;178;72,8;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12051;2124;108,0833333;3,250000005;1176,5;0;1178,716;1173,5;1186;1088,744;222,3291;221,2963;223,3796;942,9109;933,9988;16,90236;6,744389;9,040425;178;72,3;110,066
